,Unnamed: 0,Month,Departure Count,Arrival Count,Total Operation Count,Departure Per Day,Arrivals Per Day,Operation Per Day
0,0,1,6562,6559,13121,211.67741935483872,211.5806451612904,423.258064516129
1,1,2,5983,5982,11965,213.67857142857144,213.64285714285717,427.32142857142856
2,2,3,6806,6806,13612,219.54838709677415,219.54838709677415,439.0967741935484
3,3,4,6512,6515,13027,217.06666666666663,217.16666666666663,434.23333333333335
4,4,5,6846,6841,13687,220.83870967741936,220.67741935483872,441.51612903225805
5,5,6,6964,6965,13929,232.13333333333333,232.16666666666663,464.3
6,6,7,7233,7234,14467,233.32258064516128,233.35483870967738,466.6774193548387
7,7,8,7164,7164,14328,231.09677419354838,231.09677419354838,462.19354838709677
8,8,9,6558,6562,13120,218.6,218.73333333333332,437.3333333333333
9,9,10,6752,6752,13504,217.8064516129033,217.8064516129033,435.61290322580646
10,10,11,6417,6419,12836,213.9,213.96666666666667,427.8666666666667
11,11,12,6783,6785,13568,218.8064516129033,218.8709677419355,437.6774193548387
