day,daily arrival count,daily departure count,total operation daily count
1,239,239,478
2,212,211,423
3,177,178,355
4,220,220,440
5,239,239,478
6,240,240,480
7,242,242,484
8,239,239,478
9,214,213,427
10,233,234,467
11,242,242,484
12,239,239,478
13,240,240,480
14,242,242,484
15,241,241,482
16,216,215,431
17,235,235,470
18,243,243,486
19,241,241,482
20,242,242,484
21,244,244,488
22,241,241,482
23,216,215,431
24,235,236,471
25,243,243,486
26,241,241,482
27,242,242,484
28,244,244,488
29,241,241,482
30,216,215,431
31,235,236,471
