,Count
Boeing 737-700 (winglets) Passenger,58576
Boeing 737-800 (winglets) Passenger,23467
Embraer 175,22294
Boeing 737-800 Passenger,15998
Airbus A321,12865
Airbus A320,12136
Boeing 737-900 Passenger,11470
Boeing 737-900 (winglets) Passenger,6768
Airbus A321 (Sharklets),5768
Airbus A319,4904
Canadair Regional Jet 700,3224
Airbus A318/319/320/321,3066
Airbus A320 (Sharklets),2381
Embraer 175 (Enhanced Winglets),2305
Canadair Regional Jet 900,2053
Boeing 717-200,1577
Boeing 757-200 Passenger,1515
Canadair Regional Jet,1372
Boeing 737MAX 8 Passenger,1182
Boeing 757 (Passenger),817
Boeing 737-700 Passenger,787
Boeing 787-8,730
Airbus A330-200,728
DHvilld-Bombardier DHC8 Dsh 8-400/8Q,710
Boeing 757-200 (winglets) Passenger,688
Boeing 757-300 Passenger,686
Airbus A340-300,490
Boeing 777 Passenger,432
Boeing 737MAX 9 Passenger,338
Boeing 747-400 (Passenger),292
Boeing (douglas) MD-90,263
Boeing 767-300 Passenger,148
Canadair CRJ Series 705,119
Boeing 737-600 Passenger,34
Boeing (douglas) MD-80,24
Boeing 767-400 Passenger,14
Airbus A340-600,4
Boeing 777-300ER Passenger,4
